지점명,일시,평균기온(°C),평균최고기온(°C),평균상대습도(%),월합강수량(00~24h만)(mm),평균풍속(m/s),연,월이름,월,계절,계절_index
서울,1930-05-24,16.7,23.4,70,113.1,2.3,1930,5월,5,봄,1
서울,1930-06-24,21.4,28.1,67,56.8,2.1,1930,6월,6,여름,2
서울,1930-07-24,25.5,29.6,85,821.3,1.9,1930,7월,7,여름,2
서울,1930-08-24,26.4,32.2,75,174.2,1.5,1930,8월,8,여름,2
서울,1930-09-24,19.5,25.7,70,45.2,1.7,1930,9월,9,가을,3
서울,1930-10-24,14,20.9,74,88.5,1.4,1930,10월,10,가을,3
서울,1930-11-24,3.1,7.6,69,75.7,2,1930,11월,11,가을,3
서울,1930-12-24,-0.8,3.7,69,7.5,1.3,1930,12월,12,겨울,4
서울,1931-01-24,-3.9,0.3,72,34.5,1.8,1931,1월,1,겨울,4
서울,1931-02-24,-2.7,2.1,63,37.5,2,1931,2월,2,겨울,4
서울,1931-03-24,4.7,11,64,34.9,1.9,1931,3월,3,봄,1
서울,1931-04-24,8.8,14.9,66,104.3,2.4,1931,4월,4,봄,1
서울,1931-05-24,16.3,23.6,68,175.9,2.1,1931,5월,5,봄,1
서울,1931-06-24,21.4,27.9,74,115.5,1.9,1931,6월,6,여름,2
서울,1931-07-24,22.4,27.4,78,245.1,2.1,1931,7월,7,여름,2
서울,1931-08-24,25,29.5,83,445.4,1.9,1931,8월,8,여름,2
서울,1931-09-24,20,26.3,74,53.2,1.8,1931,9월,9,가을,3
서울,1931-10-24,11.9,19.7,70,13.8,1.4,1931,10월,10,가을,3
서울,1931-11-24,7.7,13.6,74,49.7,1.3,1931,11월,11,가을,3
서울,1931-12-24,-1,3.5,75,78.5,1.5,1931,12월,12,겨울,4
서울,1932-01-24,-0.6,5.1,71,4.4,1.6,1932,1월,1,겨울,4
서울,1932-02-24,-1.4,3.1,68,22.6,2.3,1932,2월,2,겨울,4
서울,1932-03-24,2.8,8.7,64,28.2,2.5,1932,3월,3,봄,1
서울,1932-04-24,9.9,16.1,67,28.9,2.3,1932,4월,4,봄,1
서울,1932-05-24,17,24.3,68,97.6,2.4,1932,5월,5,봄,1
서울,1932-06-01,21.7,27.6,73,80.6,1.8,1932,6월,6,여름,2
서울,1932-07-01,25.9,31.3,80,213.5,1.8,1932,7월,7,여름,2
서울,1932-08-01,25.6,30.7,77,274.6,1.8,1932,8월,8,여름,2
서울,1932-09-01,20.2,26.5,70,64.2,1.5,1932,9월,9,가을,3
서울,1932-10-01,12.2,19.4,73,68.9,1.6,1932,10월,10,가을,3
서울,1932-11-01,5.8,12.3,71,24.5,1.5,1932,11월,11,가을,3
서울,1932-12-01,0.6,5,65,33.2,1.8,1932,12월,12,겨울,4
서울,1933-01-01,-6.4,-2.4,54,6.1,2.6,1933,1월,1,겨울,4
서울,1933-02-01,-3.7,0.7,59,18.2,2.8,1933,2월,2,겨울,4
서울,1933-03-01,0.6,5.1,62,17.1,3,1933,3월,3,봄,1
